Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Brett Wallace,Astros (AAA),24,126,11.90%,22.20%,0.54,0.356,0.437,0.481,0.917,0.125,3.1,0.456,0.2,24,6.1,0.41,134,8434
Brad Emaus,Rockies (AAA),25,186,10.80%,12.90%,0.83,0.313,0.389,0.564,0.954,0.252,5.6,0.321,-0.9,35,8.9,0.41,134,2020
Taylor Teagarden,Rangers (AAA),27,173,12.10%,30.10%,0.4,0.285,0.376,0.589,0.965,0.305,4.2,0.356,0,33,8.3,0.41,134,5199
David Winfree,Diamondbacks (AAA),25,157,9.60%,14.00%,0.68,0.321,0.389,0.575,0.963,0.254,6.6,0.315,1.1,29,7.3,0.408,133,sa244377
Jeremy Hermida,Reds (AAA),27,450,10.20%,21.60%,0.47,0.319,0.4,0.524,0.924,0.205,3.6,0.387,0.3,81,28.7,0.408,155,7208
Aaron Cunningham,Padres (AAA),25,384,9.90%,14.10%,0.7,0.329,0.398,0.532,0.931,0.203,5,0.368,-1.2,71,17,0.406,131,4087
Justin Sellers,Dodgers (AAA),25,322,12.70%,17.70%,0.72,0.304,0.4,0.537,0.937,0.233,4.4,0.335,-0.9,59,14,0.405,131,4006
Kirk Nieuwenhuis,Mets (AAA),23,221,14.50%,26.70%,0.54,0.298,0.403,0.505,0.908,0.207,5.8,0.407,0,39,13.4,0.404,153,6400
Dustin Ackley,Mariners (AAA),23,331,16.60%,11.50%,1.45,0.303,0.421,0.487,0.908,0.185,5.7,0.324,-0.1,61,14.2,0.404,130,10099
Clint Robinson,Royals (AAA),26,572,10.10%,15.40%,0.66,0.326,0.399,0.533,0.932,0.207,2.3,0.356,-0.1,105,24.4,0.404,130,6908
Logan Schafer,Brewers (AAA),24,194,8.80%,9.30%,0.94,0.331,0.401,0.521,0.922,0.189,5.8,0.345,-0.5,36,8.3,0.404,130,7937
Scott Beerer,Rockies (AAA),28,158,1.90%,15.20%,0.13,0.372,0.401,0.514,0.915,0.142,2.1,0.426,-0.8,29,6.7,0.404,130,sa226486
Jai Miller,Athletics (AAA),26,475,11.40%,37.70%,0.3,0.276,0.368,0.588,0.956,0.312,7.5,0.401,3,87,20,0.403,130,5715
Brandon Inge,Tigers (AAA),34,126,13.50%,23.80%,0.57,0.287,0.389,0.519,0.907,0.231,1.2,0.338,-0.1,22,7.6,0.403,152,470
Wes Timmons,Athletics (AAA),31,231,13.00%,4.30%,3,0.321,0.432,0.442,0.874,0.121,3.6,0.326,-0.5,42,9.4,0.402,129,sa201757
Brett Jackson,Cubs (AAA),22,215,13.00%,29.80%,0.44,0.297,0.388,0.551,0.939,0.254,6.8,0.402,0.7,39,8.4,0.4,128,9632
Jose Lobaton,Rays (AAA),26,224,16.50%,22.30%,0.74,0.293,0.41,0.489,0.899,0.196,1.7,0.362,-0.2,39,12.8,0.399,150,4243
Brandon Guyer,Rays (AAA),25,443,7.90%,17.80%,0.44,0.312,0.384,0.521,0.905,0.209,7.2,0.36,0.5,76,25.2,0.399,149,2636
