Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,playerid
Eric Cendejas,Angels (A+),23,7,10.29,1.29,8,0,29.60%,3.70%,25.90%,0.269,1.14,0.389,50.00%,3.86,2.09,1.77,sa549941
Michael Goodnight,Indians (A+),22,5.1,10.13,0,6,0,30.00%,0.00%,30.00%,0.167,0.56,0.25,80.00%,1.69,2.1,-0.42,sa455520
Rob Wooten,Brewers (A+),25,21.1,7.59,1.27,6,0,21.70%,3.60%,18.10%,0.188,0.84,0.242,66.70%,2.53,2.12,0.41,8532
Ryan Flannery,Yankees (A+),25,43,7.12,1.05,6.8,0,20.10%,3.00%,17.20%,0.207,0.91,0.262,79.50%,1.26,2.16,-0.9,sa455145
Jake Odorizzi,Royals (A+),21,78.1,11.83,2.53,4.68,0.46,32.50%,6.90%,25.60%,0.232,1.15,0.344,71.80%,2.87,2.18,0.69,6397
Doug Davis,Cubs (A+),35,6.2,9.45,2.7,3.5,0,30.40%,8.70%,21.70%,0.095,0.6,0.143,100.00%,0,2.19,-2.19,1244
Mickey Jannis,Rays (A+),23,5,5.4,0,3,0,13.00%,0.00%,13.00%,0.435,2,0.5,60.00%,7.2,2.19,5.01,sa550198
Blake Hawksworth,Dodgers (A+),28,4,11.25,2.25,5,0,33.30%,6.70%,26.70%,0.143,0.75,0.222,66.70%,2.25,2.2,0.05,8963
Alex Rivers,Royals (A+),22,2,4.5,0,1,0,16.70%,0.00%,16.70%,0,0,0,100.00%,0,2.23,-2.23,sa550091
Garrett Mock,Nationals (A+),28,6,9,3,3,0,26.10%,8.70%,17.40%,0.191,1,0.267,100.00%,0,2.23,-2.23,7335
Joe Wieland,Rangers (A+),21,85.2,10.09,0.42,24,0.74,28.80%,1.20%,27.60%,0.239,0.96,0.317,82.20%,2.1,2.26,-0.16,6109
Chance Chapman,Phillies (A+),27,7.1,14.73,1.23,12,1.23,37.50%,3.10%,34.40%,0.258,1.23,0.389,65.80%,3.68,2.3,1.38,sa389241
Zach Duke,Diamondbacks (A+),28,5,7.2,0,4,0,21.10%,0.00%,21.10%,0.263,1,0.333,80.00%,1.8,2.35,-0.55,3840
Brandon Mccarthy,Athletics (A+),27,10,7.2,0,8,0,22.20%,0.00%,22.20%,0.194,0.7,0.25,71.40%,0,2.35,-2.35,4662
Chase Anderson,Diamondbacks (A+),23,13.1,13.5,0.68,20,0.68,35.10%,1.80%,33.30%,0.255,1.13,0.382,41.10%,5.4,2.37,3.03,6895
Drew Pomeranz,Indians (A+),22,77,11.1,3.74,2.97,0.23,30.40%,10.20%,20.10%,0.2,1.14,0.295,77.70%,1.87,2.38,-0.51,11426
Juan Cruz,Rays (A+),32,1,18,0,2,0,33.30%,0.00%,33.30%,0.4,2,0.667,100.00%,0,2.39,-2.39,273
Joe Savery,Phillies (A+),25,2,4.5,0,1,0,12.50%,0.00%,12.50%,0.25,1,0.286,100.00%,0,2.39,-2.39,2835
Jeff Niemann,Rays (A+),28,4,4.5,0,2,0,16.70%,0.00%,16.70%,0.083,0.25,0.1,100.00%,0,2.39,-2.39,8591
Oliver Drake,Orioles (A+),24,96.2,7.45,1.68,4.44,0.09,21.40%,4.80%,16.60%,0.222,0.99,0.284,74.00%,2.14,2.39,-0.25,sa462416
Jay Voss,Tigers (A+),24,33.2,8.02,1.87,4.29,0,21.40%,5.00%,16.40%,0.252,1.19,0.327,69.10%,3.21,2.41,0.8,sa390455
Eric Heckaman,Tigers (A+),23,7.1,9.82,3.68,2.67,0,25.80%,9.70%,16.10%,0.286,1.5,0.4,72.70%,3.68,2.43,1.25,sa599009
Kenny Faulk,Tigers (A+),24,52.2,11.45,2.56,4.47,0.51,30.30%,6.80%,23.50%,0.243,1.23,0.346,75.70%,2.56,2.44,0.12,sa501909
Fernando Rodney,Angels (A+),34,2,13.5,4.5,3,0,33.30%,11.10%,22.20%,0.25,1.5,0.4,33.30%,9,2.45,6.55,494
Gary Moran,Braves (A+),26,27.1,7.9,2.3,3.43,0,21.60%,6.30%,15.30%,0.206,1.02,0.269,66.70%,2.63,2.46,0.17,sa503366
Jeff Beliveau,Cubs (A+),24,17.1,10.38,3.12,3.33,0,29.00%,8.70%,20.30%,0.213,1.1,0.317,95.20%,0.52,2.47,-1.95,8504
